"","textOriginal","hard_marker","easy_marker","authorDisplayName"
"3024","@Casey Tex As a widowed retired senior (I add the ""widowed"" part just to say there is no wife asking for my time) I can and do practice anytime I want for as long as I want. I know many (most) do not have this luxury. I practice outside 99% of the time. I miss the better acoustics realized from playing inside.",NA,NA,"Dan R"
"3025","I hope so!",NA,NA,"Casey Tex"
"3026","Right handed guitar is Totally fine for a lefty. I'm a left-hander, and prefer a right handed guitar. My ""good hand"" (left hand) grabs the chords, and I prefer it that way. Your son might be different, but I can't imagine playing guitar any other way. It hasn't given me a disadvantage, and I feel like I almost have an advantage, using my good hand to do the more difficult chord grabbing, and my right hand just strumming.","hard",NA,"Matthew Hennessey"
"3027","Kip B, 


I'm glad I could help.",NA,NA,"Something To Consider"
"3028","Something To Consider 
Make great sense, I'll have him do just that.  Thank you!",NA,NA,"Kip B"
"3029","Kip B, 


Honestly, I don't think it really matters. Even though your son is left handed, he could still learn how to play a right handed guitar. I would invite you to consider taking your son to a guitar store and have him try out both playing orientations. When your son tries out both playing orientations, have him go off of what feels most comfortable to him. I would presume that your son has no experience playing the guitar, so the feel of the instrument is all he'll have to go off of. You and your son can then move forward from that point. I hope this helped :) 


SIDE NOTE - Even though I said I don't think it matters if your son plays left or right handed, I would encourage him to learn how to play right handed. Most guitar players play right handed and most online resources are offered from right handed guitarists. Playing right handed is just more common and may be easier to follow for that very reason. There is, however, nothing wrong with playing left handed. It's up to the player, but if they can't decide and or don't care, then I think they should learn how to play right handed.",NA,NA,"Something To Consider"
"3030","so THATS how it goes.......I forgot it.....I feel so ashamed @>@.",NA,NA,"Widdle Cheetoh"
"3031","Same",NA,NA,"Muhammad Ali"
"3032","Yeah it's
Eddie
Ate
Dynamite
Good
Bye
Eddie 😊",NA,NA,"Lostlegacy_ 344"
"3033","As the asian guy from family guy said 
*""You not tryin if fingers no bleeding!""*",NA,NA,"R E G I S MARK V"
"3034","thank you a lot from the bottom of my heart for your awesome way of teaching!",NA,NA,"Thedreamer"
"3035","EADGBE 
*E*vil
*A*ustralians
*D*idnt
*G*o
*B*reakfast
*E*vening",NA,NA,"WindowsTopia GT"
"3036","With Marty by my side I will one day be a slow playing legend around Campfires & Rainy Days 👍🏻😝🎸",NA,NA,"Nicky E. B."
"3037","My girlfriend and I were out on a date about a month ago, and she nonchalantly asked about birthday gift ideas. One of the things I said was a guitar. I completely forgot I even said anything about it. Sure enough yesterday she got me a guitar for my birthday, and I guess it would be rude not to learn how to play it. I looked at several beginner guitar lesson videos, but you seemed the most relaxing, confidence-building, and funny teacher on YouTube. I'm going to stick with your program and I have no doubt that I'll start playing beautifully in no time. Thanks again",NA,NA,"Rusted Wheel"
"3038","This is great! Thank you for this video!! I have one question: I'm having a lot of tension in my fingers and having trouble creating the right kind of pressure on the strings - is this normal when beginning because I don't have calluses yet? So I have to create more pressure than I would if I did have them?",NA,NA,"ehardey"
"3039","aaaahaayhaay marty shorts here!",NA,NA,"Leroy Noah"
"3040","the add though",NA,NA,"Dr.Chris Turyasingura"
"3041","Thank you, i learned a song (almost) from looking at this video  . Thanks!",NA,NA,"WinterKeuperz"
"3042","this my  first day playing guitar 7/10/2019 and i will continue learning it , because of your beautiful lessons .
thank you a lot ><
each day will watch ur video and keep commenting on them what i feel like and what i hv learned.",NA,NA,"Basit Balushi"
"3043","Thing is, these chords by themselves won't give you many songs will they? Better persevere with a G , C and D which can become hundreds of songs later? IDK just my opinion. I do see that these are easier.",NA,NA,"Waking TheDead"
"3044","Here for the lessons, staying for the Tenacious D references.",NA,NA,"Jacob Reynolds"
"3045","my guitar teacher told us this:
Every
Afternoon
Dogs
Go
Bite 
Everyone",NA,NA,"MAHALI ALI AK BARRR"
"3046","Seems like a good place to start.",NA,NA,"That Boi"
"3047","I'm starting at 44 yrs old. This is the best I could ask for. Thanks Marty, clearly ALOT of time and thought when into this series.",NA,NA,"Silas Firsthand"
"3048","Thanks I enjoyed this lesson.  Are there more beginner lessons here or just the paid series you linked to in the comments?",NA,NA,"starrylizard"
"3049","Once I finally got the cords down and started making a few small tunes, I realized this is rather relaxing. I like this so far :)",NA,NA,"wondering around"
"3050","this is really helpful thx marty",NA,NA,"David Noble"
"3051","Great lesson, Marty!  Would have been extremely helpful for those who don't know if you would have explained what a ""sus"" chord is.  I know what ""sus"" means, but I'm sure many noobies watching this don't.  But, again...great lesson from you...as usual!  Cheers, mate!  :)",NA,NA,"M McCartney"
"3052","show us more vidios",NA,NA,"Idella Schafer"
"3053","you are really good",NA,NA,"Idella Schafer"
"3054","why does your bass have 6 strings???",NA,NA,"Reesy Puff"
"3055","So how do you know what strings to strum and ones not to",NA,NA,"Seth Thomas"
"3056","But this really helps me",NA,NA,"Team Fishy"
"3057","I got the same add",NA,NA,"Team Fishy"
"3058","i was so upset because i couldnt get it to sound like that but then i realized i was holding my guitar backwards :(",NA,NA,"ohno. itsxy"
"3059","i’m pretty good at fingering",NA,NA,"Cheap Silence"
"3060","my guitar isn’t making a very resonant sound; i’m doing the fingering the same way as marty, but it just sounds choked, even when i’m barely touching the strings. my guitar is old as the hills (my mom got it in like the 70’s where it started to gather dust for ~40 years) and it’s a yamaha; any ideas what’s up? is it old age or am i doing something wrong?",NA,NA,"MrBlueSky ??????"
"3061","E Minor ; Eat a minor.",NA,NA,"Preston Null"
"3062","Just started playing the guitar. I’m using my dads Acoustic Guitar from his wedding that he never learned how to play and someone recommend you to me. After I get it down with the Acoustic I plan on getting an electric cause I’ve always liked the electric. :)",NA,NA,"Kira Arii"
"3063","You are AWESOME. 🎸",NA,NA,"Patriotic Dandelions"
"3064","Thank you so much!!",NA,NA,"Demi H"
"3065","You are so good at the guitar and i like the way you play",NA,NA,"Chris Riley"
"3066","That was so helpful thank you 🙏",NA,NA,"Tornado Bird"
"3067","This lesson give you some quick confidence and I love the way he walks you through it",NA,NA,"Chris Corman"
"3068","I like you, you're cool",NA,NA,"sadie"
"3069","What is the song?",NA,NA,"Raiksan 17"
"3070","The first song i wanna play is jonny b goode",NA,NA,"chucho"
"3071","What is the brand name of this guitar? Any recommendations?🙏🏻",NA,NA,"njeri magda"
"3072","Thanks great lesson",NA,NA,"Tarren Tyree"
"3073","Hey marty will you learn and post a video of how to play long time running by tragically hip",NA,NA,"Aidan Schell"
"3074","NEVER PLAYED GUITAR BEFORE BUT I FOLLOW YOUR BEGINNER SERIES AND AM LOVING THE PROGRESS I'VE MADE. THANKS. PLS I WANT TO BUILD MORE CHORDS. HOW I GET YOUR LINK FOR MORE CHORDS. SO FAR I KNOW Em, Cmaj, Fmaj, Amin, Asus, Amaj, Emaj, G, Dmin, Dmaj.",NA,NA,"Owen Nwanorh"
"3075","Thanks so much for the video. Super helpful and easy to follow for beginners like myself.",NA,NA,"Liyan Zhao"
"3076","no stop",NA,NA,"Ride BC"
"3077","Do you hit all the strings in E minor?",NA,NA,"Green Player"
"3078","I’m 18 right now and I want to learn to play the acoustic guitar and the piano. I’ve always love music so I hope I can learn.",NA,NA,"J A"
"3079","The fact that I'm watching this indicates I'm a beginner. 
 I associate EADGBE as Every Asshole Dickhead Gets Beat Everyday but I like yours too.",NA,NA,"Joe Troutt"
"3080","Love your teaching ❤️ style. Thanks 😊",NA,NA,"Lemarr Thomas"
"3081","Just bought my first guitar today for $25 at a yard sale. I'll give myself a year to learn at least one song! And as John Mellencamp sang, ""Forget about that macho $hit and learn how to play guitar""  lol!",NA,NA,"Barb Keen"
"3082","I'm gonna buy a guitar from OfferUp",NA,NA,"A-Chan"
"3083","my middle finger keeps blocking the string under it",NA,NA,"gangsterelmoman"
"3084","im fan of guns, nirvana, oasis ang oh my god my i was happy when you said those songs! ☺️",NA,NA,"rose mary"
"3085","Wish you were starts with a g... I also like how you're all like these famous songs have chords in them!",NA,NA,"Yan Hasmut"
"3086","Chord progression for Being Kind Can Hurt Someone by REO Speedwagon right there...  try it and amaze everyone :-)",NA,NA,"chuckHart70"
"3087","1st lesson should be on a guitar people can afford. Not a 614.",NA,NA,"Dan Taylor"
"3088","Do u NEED a pick ??",NA,NA,"Haylie YT"
"3089","Everyone who learns the first two cords. Think their Led Zeppelin. Then they quit.",NA,NA,"Redlineoverload Productions"
"3090","First time for me to do this",NA,NA,"John Arias"
"3091","https://youtu.be/ULH6bqV8eLs",NA,NA,"Antonio Velasquez"
"3092","Thank you",NA,NA,"1MsPerez"
"3093","This is great! I actually sound like know what I'm doing😂😂😂 My main instrument is piano


Forgot to add! 
My favorite way to remember the strings is 
Eddy Ate Dynamite Good Bye Eddy 😂",NA,NA,"Jenna Keith"
"3094","Nice video, just watching looking for any bits that will help me sharpen my technique. Great Form, Seriously good work on the video. Most importantly, I subscribed, even though this particular video didn't contain any insights for me, I wish I had it when I started playing at 9. FYI The reason I subscribed is because you explained the parts of the guitar, and when you got to the nut bit, you didn't laugh or even chuckle. That is professionalism as far as I can tell. I laughed a little. Shoulda guitar'd more and ""south park""ed less.",NA,NA,"Bucket"
"3095","Adblockers are a thing, guys.",NA,NA,"Seth"
"3096","What is the best acoustic guitar for beginners? I want to purchase one to start learning by myself watching videos like this one, but I don’t know which guitar would be the best for me.",NA,NA,"Hey, It’s Nicky"
"3097","Hey Marty was wondering what the strumming rhythm for About a Girl ?",NA,NA,"Noah Schutte"
"3098","My musician buddy informed me about your links
Cool thanks to you both . .",NA,NA,"Maxine Tom"
"3099","Thanks Marty I used your lessons to help me. I also recorded the process and will be uploading videos of me learning how to play!",NA,NA,"Luke Maher"
"3100","I have a 2 left hand..",NA,NA,"Crusty Joe"
"3101","Cracks me up that theres an ad DISMISSING YouTube guitar lessons on a video of a YouTube guitar lesson....",NA,NA,"Finally Aaron"
"3102","What guitar is this?  How much?",NA,NA,"Sadasj"
"3103","lesson 2 where are YOU?",NA,NA,"Ed Weibe"
"3104","Just started playing my guitar, this is the first video I watched after watching your tuning video. This helped me a lot, and I loved that you mentioned the songs that are played in those keys. Especially the Metallica ;)",NA,NA,"Kasey Colbert"
"3105","oof I wish I could play guitar without my fingers hurting. I'll get there eventually!",NA,NA,"Really Kat"
"3106","Oh my fingers 😢😢😢😢😢 and no result",NA,NA,"Mary Jilavian"
"3107","WOW first lesson with you and i'm hooked. I've had a guitar for a good few years now and always found it overwhelming, but you've made it fun with Eminor and A sus2!! Thanks M.",NA,NA,"Rich Davies"
"3108","Is it a 41 inch guitar or 38 inch??",NA,NA,"Aashish Mainali"
"3109","I already know how to tune my guitar",NA,NA,"Maya Grace Sorenson"
"3110","I’m just a kid",NA,NA,"Elizabeth Davis"
"3111","Omg this helped me so much",NA,NA,"isla webb"
"3112","5:49",NA,NA,"That Dude :D"
"3113","I clicked on this video and immediately got a video about how YouTube guitar tutorials are terrible",NA,NA,"Sleudgehammer"
"3114","You're an honest legend broski",NA,NA,"Tomos Hadley"
"3115","That guitar sounds beautiful 😍",NA,NA,"The Hitman Nation"
"3116","I played E minor for like an hour! Fingers hurt, but nothing else matters",NA,NA,"Lina Geseviciute"
"3117","great video
https://www.youtube.com/channel/UCMIrJ47xGWyNdtS0Nf_g_TQ?view_as=subscriber",NA,NA,"cooltunesmadeezy"
"3118","Could any one share your experience if you ever learned how to play just by watching you tube videos?",NA,NA,"Exodus"
"3119","I'm Brylee",NA,NA,"Megan Blake"
"3120","My dad’s acronym: 
Eat 
At 
Denny’s 
Go
Bathroom 
Emergency",NA,NA,"Alex Kess"
"3121","I try to learn guitar because my fingers hurt but I will never give up",NA,NA,"Alexandre Lajoie"
"3122","Went through quite a few ""first lesson"" videos and this one was by far the best one for me. All the others seemed to insist on going into 3 finger chords instantly and while I could play them fine, switching is considerably harder than on the 2 finger chords. I was actually able to get something that sounds somewhat rhythmic with the 2 finger chords.","hard",NA,"nadiayorc123"
"3123","Love it!! Just got my grandfathers guitar and looking forward to this journey. Haven’t played since high school.",NA,NA,"Journey 333"
"3124","nobody: 

ad: learning to play guitar ? don’t press that skip button!

3 seconds later*

me: SKIPPPPPPDJDNJSNSNSN",NA,NA,"Mighty Jo"
"3125","Ignore the ads, they just know you can learn on your own",NA,NA,"Daves Fax"
"3126","Wow this was awesome thanks I’m 22 and decided that I am going to practice 30 mins a day and today was my first lesson. Hopefully by the end of the year I’ll understand the cords I’m playing and the language of notes like E minor etc... Thank you. I don’t have a career yet but it was nice being able to watch a Guitarist that gives free lessons",NA,NA,"Chromatichavoc"
"3127","Eat 
All 
Day 
Get 
Big 
Easy 
🤷🏻‍♀️",NA,NA,"Lupita Montoya"
"3128","I’m new to guitar, I put it off for year because I made myself believe my fingers were to big. I came to this conclusion because I kept on muting other cords when trying to play. Your videos are helpful don’t get me wrong but I think a lot in the beginning is just the person figuring out what works for them. For example on this E minor cord I would mute the 4th string even tho my figures were rounded. Turns out it has to do with the ring and pinky finger, they are to be in a very special position for the cord to sound right. I came to this conclusion because I have watched this video about 20 times in this past week and I just could not get the E minor cord to work properly every single time.

So long story short you can watch his videos because he is probably one of the best teachers on YouTube. However, don’t think he will get you playing to have to find what works best for you.",NA,NA,"Austin Stephens"
"3129","can you learn by playing an electric guitar acoustically? I borrowed one from a friend but they didnt give me an amp with it so I just have the guitar haha.",NA,NA,"Caleb Black"
"3130","Thank you so much I've been progressing",NA,NA,"TJMcFly"
"3131","I dont have a pick so should i wait?",NA,NA,"Athena Russell"
"3132","Will this work with electric guitars? Beacuse I have a eletric guitar.",NA,NA,"Ian Koch"
"3133","Lmfao",NA,NA,"Gloria Gilbert"
"3134","Yup!",NA,NA,"Michelle Espinoza"
"3135","Damn straight",NA,NA,"S M X"
"3136","@ehardey 


I'm glad I could help! :)","hard",NA,"Something To Consider"
"3137","@Something To Consider Thanks for the advice! :)",NA,NA,"ehardey"
"3138","suprbroadwaygrl, 


Well, having tension in your fingers is an issue that everyone has at some point. If the tension isn’t in the fingers, then it’s somewhere else in the body. In general, the best way to get rid of tension is to relax or be relaxed. It sounds simple I know, but you can’t possibly be under loads of tension if you’re relaxed. In the case of your fingers, it is always a good idea to stretch your hands and fingers out before you start playing. This helps to get the blood flowing and also helps loosen your hands and fingers. It is also a good idea to stretch and massage your arms before you play as they are a key part in playing the guitar. A good rule of thumb is to spend around 5 minutes stretching before you start playing. Also, don’t worry if you can’t get rid of your tension right away. It is a problem that even advanced players have a hard time dealing with. If you feel like you’re about to tense up, then stop, reevaluate your technique and try again. 


You also mentioned that you’re having trouble creating the right amount of pressure on the strings. Again, this problem isn’t unique to you and is something everyone has struggled with at some point. This is one of those things that you will get over time, but I’ll still give you a little tip to help you out. It is important to keep in mind that you should only use as much pressure on the strings as is necessary to make the note ring out. If you use too much pressure, then you run the risk of hurting your fingers as well as pushing the note sharp. If you don’t use enough pressure, then it is likely that the note will not ring out at all. A good way to figure out how much pressure to apply to the strings is to slowly put pressure on a fret until you hear the correct note come to life. For example, go to the 3rd fret on the 6th string and slowly apply more pressure until you hear the correct note ring out. Once you hear the correct note, you can then memorize how that felt and recreate it later. You can do this on any fret and string by the way, I just used the 3rd fret on the 6th string as an example. I hope this helped :) 


P.S. You will develop calluses over time as well. Once they are developed, it will be easier to fret notes! All the best!","hard",NA,"Something To Consider"
"3139","@MAHALI ALI AK BARRR if you believe she made that saying then I must me Jerry Garcia LOL",NA,NA,"Buzzy France"
"3140","@FreeSubs 2019 😄",NA,NA,"Janet Powell"
"3141","Ava and Leila Mbaga eadgbe",NA,NA,"Darth Cannabris"
"3142","Eddy ate dynamite good bye eddy",NA,NA,"FreeSubs 2019"
"3143","What does that stand for?",NA,NA,"Ava DaGreat"
"3144","@MrBlueSky ?????? 


I'm glad I could help.",NA,NA,"Something To Consider"
"3145","Something To Consider thanks so much!",NA,NA,"MrBlueSky ??????"
"3146","@MrBlueSky ??????


It is hard for me to provide specific information without seeing and playing the guitar, but I can provide some general advice that should point you in the right direction. For the most part, everything you would pay a guitar tech to do you can do on your own. It's only the advance, more precise work that you would want a professional to do, especially if you were dealing with a super expensive guitar. In your case, I would invite you to consider doing the following to your guitar: change your strings, make sure the intonation is set up correctly, make sure the action is set properly, adjust the truss rod if needed (some guitars don't have one), clean and condition the fretboard, (only condition an unfinished fretboard, like a rosewood fretboard for example), and polish the body. There are tutorials all over the internet that go over how to make the aforementioned adjustments to your guitar. After these basic adjustments are made properly, you can then say you have a decent guitar on your hands. There is so much more you could do, but these adjustments are essential to any guitar to get it to look, play, and wear properly. I hope this helped :) 


P.S. Don't forget to condition your fretboard if it is unfinished. It will prevent the wood from drying out and will make the fretboard look new again.","hard",NA,"Something To Consider"
"3147","Something To Consider thanks so much, but a new guitar isn’t really in my budget right now... is there anything i can do for free/cheap/on my own?",NA,NA,"MrBlueSky ??????"
"3148","MrBlueSky ??????


Well, it could be a combination of old age and you doing something wrong. If you're a beginner, your playing isn't going to sound very good no matter the instrument. It's not your fault or anything, but you have no prior knowledge of anything guitar related. It makes sense that you wouldn't be able to play very well. Now, I would highly recommend getting a new guitar. If the guitar you're trying to play/learn on collected dust for 4 decades, then it obviously needs to be checked out or replaced. Even if it sat around for a year or so, it would still need to be checked out. I would invite you to consider taking your guitar to a guitar technician to be evaluated. From that point, you can determine if you want to fix your current guitar or buy a new one all together. I hope this helped :)",NA,NA,"Something To Consider"
"3149","fenders are cheap and sound good",NA,NA,"Chicken Chop"
"3150","Agreed. Marty is very cool for making these videos. 💖💕",NA,NA,"Patriotic Dandelions"
"3151","Yes.",NA,NA,"Patriotic Dandelions"
"3152","You will. 👌🏼",NA,NA,"Patriotic Dandelions"
"3153","I like you. 😚",NA,NA,"Patriotic Dandelions"
"3154","Awesome. 🧞‍♂️",NA,NA,"Patriotic Dandelions"
"3155","Not on a tablet",NA,NA,"mcdonkey500"
"3156","Real Tag, 


I'm glad I could help :)",NA,NA,"Something To Consider"
"3157","Something To Consider thank you so much 🙏🏼",NA,NA,"Hey, It’s Nicky"
"3158","Real Tag, 


Well, I would invite you to consider going to a guitar store and trying out all the acoustic guitars they have. It may seem like a lot of work, but it will be worth it in the end. With that being said, I would say that the Taylor GS Mini is a solid acoustic guitar to start with. While it isn't the cheapest acoustic guitar for beginners, it isn't super expensive either. It is also smaller than a regular acoustic guitar as the name suggests. A smaller guitar may be easier for a beginner to get used to, especially if said beginner is on the smaller side. 


According to Guitar Center, the Taylor GS Mini starts at $499. There are also several electric-acoustic versions available ranging from $649 to $799. These numbers are as of September 17th, 2019 as that is today's date. I would imagine that the $499 version would be more than enough for you as a beginner if you were interested in the Taylor GS Mini in the first place. I hope this helped :) 



Guitar Center Taylor GS Mini Link - https://www.guitarcenter.com/Taylor-GS-Mini.gc   


Taylor's Official Link For The Taylor GS Mini - https://www.taylorguitars.com/guitars/acoustic/gs-mini 


P.S. No, I'm not sponsored by or affiliated with Taylor or Guitar Center in any way. I was just providing some information that I hope was useful for Real Tag or anyone else who happens to read this! LOL",NA,NA,"Something To Consider"
"3159","What size is your guitar",NA,NA,"Sadasj"
"3160","thank you very much Tomos!",NA,NA,"Marty Music"
"3161","Was that a Metallica joke? 🤣🤣🤣",NA,NA,"Flavio Urbina"
"3162","Jason kH 😂😂",NA,NA,"Alex Kess"
"3163","Haha bruh lmao 😂😂😂",NA,NA,"Jason kH"
"3164","FART!!1 XD",NA,NA,"SpookyGhost McFly"
"3165","Yousician",NA,NA,"FutraYT"
"3166","Gotta hit it with the ol’ skipperooski",NA,NA,"Lukas Fellon"
"3167","Same",NA,NA,"Pickle Mike"
"3168","oops! i pressed the skip button. XD",NA,NA,"Chris Ross"
"3169","@Austin Stephens Hey, can you check out my channle and subscribe? Just click on me! Do you have a channel?",NA,NA,"Ian Koch"
"3170","Ian Koch 
Applause AE 128",NA,NA,"Austin Stephens"
"3171","@Austin Stephens  What guitar do you play? I want to know.",NA,NA,"Ian Koch"
"3172","@Austin Stephens Thanks Austin, I bought a electric guitar and didn't know if this show would help, but it did.",NA,NA,"Ian Koch"
"3173","Ian Koch Same basic principles sir. The type of guitar (electric or acoustic) will only vary in the sound they provide, some cords sound better on electric and visa versa. So to answer your question watching this video will still benefit you.",NA,NA,"Austin Stephens"
"3174","Jesus fucking Christ eight and a half God damn minutes in and I have decided to stop the video turn off my YouTube and go back to your video so I can get the website name to go to learn from them Jesus fucking Christ dude get the fuck on with it already.
I have a feeling that the ad was referencing you specifically",NA,NA,"Elizabeth Gamon"
"3175","Poop",NA,NA,"Christian Dabs"
"3176","my first 3 cords where G,A,D the song i was trying to learn was  Pink Floyd 2 suns in the sunset",NA,NA,"William Winn"
"3177","You lesson encouraged me to buy a guitar . Thanks",NA,NA,"EL LLORT :V"
"3178","Im in fourth grade and i got my first Acoustic Guitar and my dad told me to watch a acoustic guitar video",NA,NA,"Banning Mallett"
"3179","This was really useful for me. Thank you",NA,NA,"Dusty Foiles"
"3180","Why does your BASS have 6 strings? WEIRD.",NA,NA,"PUBG DINNER"
"3181","Him: 5 minutes a day a month
Me: *play alto sax 1hr a day and the ukulele 1-3 hrs a day every day *
People at school: You really are lonely 
Friends: *supportive* 
Mum: *tired of buying and listening to instruments*
Other friends: *also plays instruments* your doing great but...-*helps me*
Me again: thanks guys *grateful*",NA,NA,"RhyRhy Alien"
"3182","This video was amazing. Not only are you talented with a guitar, you're a talented teacher was well.",NA,NA,"Steve Day"
"3183","Why does your bass have 6 strings?",NA,NA,"Bodhisattva"
"3184","Why does your bass have 6 strings..? Weird...",NA,NA,"Critical Productions"
"3185","How do you play guitar if you have really long nails and you cannot physically touch the string without touching any other strings. I mean there must be a way right?!?! Look at dolly parton",NA,NA,"Leah Waite"
"3186","Marty ,i am a new beginner and found you guitar  lessen and very interesting to keep my open and go through well and success to play or write music dear thanks a lot Marty  pls keep in touch if possible",NA,NA,"Mickey miki"
"3187","Oho y i wznt wid u long tym agoo... super  sir... tnxtnxtnxxxxxxx......lvuuuu4m INDIA",NA,NA,"Sanjay Kumar baro"
"3188","Took my 1st lesson by Marty 11 years ago... Good to see you Marty and thanx a lot",NA,NA,"Hassan Shah"
"3189","Hi marty...im 14 yeras old from malaysia....i got a new guitar and i started watching and following tutorials....i appreciate it man...thanks....even though my finger hurts..",NA,NA,"SIVA"
"3190","Giddyup",NA,NA,"Coughdrop!"
"3191","I have that same flannel lol",NA,NA,"Neal Snow"
"3192","This is class, thanks man",NA,NA,"Mkeegan"
"3193","Can’t get it ☹️",NA,NA,"R L"
"3194","Here goes; thanks Marty",NA,NA,"Steve Colling"
"3195","You are the man! This helped me so much.Thank you bro",NA,NA,"Mr Cube"
"3196","crap",NA,NA,"Rhodri jones-morris"
"3197","HELLO , 
YOUR TECHNIQUE FOR TEACHING GUITAR IS MUCH HELPFUL , THANKS.
I HOPE THAT I ALSO SEARCHED FOR THE TECHNIQUES MAY BE HELPFUL FOR THE GUITAR LOVERS.
TRY ONCE   https://bit.ly/2NniWch",NA,NA,"Me & My Boy"
"3198","Marty u 🎸
https://youtu.be/Oz_eZAbT5NY",NA,NA,"cooltunesmadeezy"
"3199","What do you fp if your fingers are too fat and ypu cant put enpugh pressure on both strings at the same time so they ring out properly and not have the rest of your finger hit the neck string down?",NA,NA,"DHDPking plays"
"3200","Thanks very helpful",NA,NA,"Yo YouTube really"
"3201","What a beautiful guitar sound.. what kind of guitar is this?",NA,NA,"Marie Weiss"
"3202","in the middle of this video i got an ad saying that youtube guitar tutorials suck",NA,NA,"corpse slaughter"
"3203","Marty,
Thank you so, so much for this. I have been wanting to learn acoustic guitar for a long time, but have never gotten around to it. I took piano for two years before switching to Cello, and though I love the Cello, guitar still holds a special place in my heart. :) 
Your (free) lesson was extremely easy to follow and understand. This has helped me so much, thank you. You have another subscriber. ;)",NA,NA,"Luke Godbold"
"3204","i am in my 40s and i started playing the drums when i was 10 years old. at 15, i started playing the guitar. no lessons, just playing along with john, paul, george and of course page of zep. i can play; i have confidence playing any song. however, now my only regret is that i didn't want to learn by taking lessons from ""experts"" in my youth. now i see martys vids and i feel like i am a beginner! thanks marty! your vids are really helpful...",NA,NA,"James Castro"
"3205","Is he strumming the low e string for the e minor?",NA,NA,"Kaizoku-o"
"3206","I have actually been watching your tutorials for a while but could never get the sound right.
My guitar is tuned my point is that I never realized how hard you have to push down on the chords..","hard",NA,"MiRoma Rubio"
"3207","Literally the best teacher.",NA,NA,"Evan Chustz"
"3208","I wanna learn how to peacefully play💞",NA,NA,"jenna grace"
"3209","Hello! I’m a fan of your videos, I’m still a beginner at guitar but you make it a lot easier to understand how to play. I was hoping to put in a request for a song to learn! I love Doses and Mimosas by Cherub and was hoping maybe you could help break it down!  Have a nice day!! :)",NA,NA,"K D"
"3210","Before the video, I got 2 ads on how and why youtube guitar lessons suck XD whyyy",NA,NA,"Jeremy Kim"
"3211","mine doesn’t sound the same but it’s in tune",NA,NA,"kadeesha"
"3212","Question so far I been doing Guitar tabs and I wanted to know what's the different between guitar chords that include strumming and tabs. Do both count as music? Or is tab suppose to help me get use to stretching the finger o.o",NA,NA,"Best Music Hits"
"3213","Another way to remember your strings is:


E at
A ll
D ead 
G ophers
B efore 
E aster",NA,NA,"XECOFLOW"
"3214","I’ve watched your strumming tutorials but still can’t figure out how to keep a string from going mute when transitioning to a new chord",NA,NA,"Strahan 34"
"3215","LOVED this video.. I’m as new as they come and this was really helpful. I’m looking forward to learning more from your other videos",NA,NA,"Shelby Lebaron"
"3216","Awesome!!!!!!!!  I love it!  Played my first chord!  Thx for making so easy and fun!!!!",NA,NA,"Brian Shepherd"
"3217","Every
Giraffe 
Buys 
Dusty
Fans


That’s what my friend said.... :/ :)",NA,NA,"Maya Kimmell"
"3218","My cat thinks I’m so good! He came over and sat in the chair next to me!! He’s so cute!!",NA,NA,"Maya Kimmell"
"3219","Yo, thanks! Really appreciate this guide!",NA,NA,"ChillPolecat83"
"3220","just bought a guitar and learned how to tune it and play two chords, thanks marty",NA,NA,"peter arnfield"
"3221","Hey marty! i recently got a guitar (used from a flea market) i noticed that the neck is cracked and started to split from the body, do you know of a way to repair it or do i have to take it to a shop or store?",NA,NA,"Undead Flower"
"3222","Do you have to have a pick to play the guitar?",NA,NA,"Sara Trejo"
"3223","Can you write them down please?!",NA,NA,"Leen Ramini"
"3224","That helped alot",NA,NA,"Clarita Hernandez"
"3225","You're great! Just started watching and learned a lot!",NA,NA,"Lucas Chambers"
"3226","I started guitar classes in my highschool and my whole class is getting the hang of it. I’m struggling to get my fingers in the right place :(",NA,NA,"Fluffkin"
"3227","THANK YOU SO MUCH!!",NA,NA,"Tomi Akinwande"
"3228","How to tune my guitar tho?",NA,NA,"GamePlayRaja"
"3229","Hi im super beginer and i dont understand, why Esus2 chord in this video is different than google shows? And in Eminor chord i have to use all strings or just 5 like in Esus2?",NA,NA,"VidsONyou G"
"3230","my fingers are too fat",NA,NA,"Jack Dooley"
"3231","Cant wait to actually begin... broke my D string cause i was tuning it thinking i was tuning my e strung like a dumb dumb head. Kept tightening and them pop goes the dynamite haha",NA,NA,"Ark Brigade"
"3232","thanks for helping me",NA,NA,"D1mpndblock600"
"3233","La vie ene rose please Marty!",NA,NA,"Sarthak Dhakal"
"3234","So I watched this video and then proceeded to play those two chords for about 30 minutes doing a whole bunch of different variations. Awesome video!",NA,NA,"Bradley Ahmann"
"3235","i’m going to get a gutiar today and like i don’t know if it’s gonna be tuned",NA,NA,"lexi lopez"
"3236","What pick do you recommend for beginners?




Thank you so much btw I loved your video :)",NA,NA,"Julia P"
"3237","It really helped me thank you very much",NA,NA,"Crazy Mac"
"3238","Okay, watched the video, picked up my youngest son' guitar. Yes, he knows how to play (his older brother too), but i don't. I'm gonna try this '5 minutes a day for two months'. I just played my first 10 minutes practicing the two cords from this video. Amazeballs how much fun it is already! Now i'm gonna show of to my boys with my two chords!",NA,NA,"Bart te Riele"
"3239","i like your video",NA,NA,"Meghan Vaughan"
